系统端,用户角色,一级模块,二级模块,功能点,功能描述
========================================用户角色说明========================================,,,,,
用户角色说明,师级管理员,/,/,/,拥有全师范围数据查看权限，负责审核重要资产竞拍结果、系统配置管理、公章管理审核等
用户角色说明,团级管理员,/,/,/,拥有本团范围数据查看权限，负责资产录入、竞拍项目发布、竞拍结果审核、公告管理等
用户角色说明,连队管理员,/,/,/,拥有本连队范围数据查看权限，负责报名审核、晒场预约审核、日常运营管理等
用户角色说明,承租用户（个人）,/,/,/,普通农户或个人，可参与资产竞拍、晒场预约、合同签署等业务操作
用户角色说明,承租用户（企业）,/,/,/,企业法人或代表，可参与资产竞拍、晒场预约、合同签署，需提供企业资质
========================================后台管理系统========================================,,,,,
后台管理系统,全部管理员,系统管理,账号管理,管理员账号管理,管理各级管理员账号信息，支持添加、编辑、禁用、删除操作；账号信息包括姓名、手机号、所属组织（师/团/连）、角色权限等；师级管理员可管理全部账号，团级管理员可管理本团及下属连队账号
后台管理系统,师级管理员,系统管理,账号管理,角色权限配置,配置不同角色的功能权限和数据权限；功能权限控制可访问的菜单和操作按钮；数据权限控制可查看的数据范围（师级/团级/连队级）
后台管理系统,全部管理员,系统管理,账号管理,操作日志查询,记录并展示所有管理员的操作日志，包括登录时间、操作类型、操作内容、IP地址等；支持按时间、操作人、操作类型筛选查询
后台管理系统,师级管理员,系统管理,组织架构,组织架构管理,管理师、团、连三级组织架构信息，支持组织的添加、编辑、删除、层级调整；每个组织需包含组织名称、组织代码、上级组织、负责人、联系方式等信息
后台管理系统,师级管理员,系统管理,系统配置,基础参数配置,配置系统基础运行参数，包括系统名称、Logo、客服电话、竞拍规则说明模板、支付超时时间、订单保留时长等
后台管理系统,师级管理员,系统管理,系统配置,支付渠道配置,配置农行支付渠道参数，包括商户号、API密钥、回调地址、支付超时时间等；支持测试支付功能验证配置正确性
后台管理系统,全部管理员,资产管理,资产信息,资产录入,以富文本形式录入可租赁资产信息，包括：资产名称、资产类型（厂房/农机设备/农业设施/闲置土地/晒场等）、资产位置（精确到团连）、资产规格（面积/容积/功率等）、资产权属证明、资产图片/视频、租赁参考价格区间、资产状态（闲置/在用/维护中）等
后台管理系统,全部管理员,资产管理,资产信息,资产列表查询,展示已录入资产列表，支持按资产类型、所属团连、资产状态、价格区间等条件筛选查询；支持列表和卡片两种展示模式；团级及以下管理员仅可查看本级及下属范围资产
后台管理系统,全部管理员,资产管理,资产信息,资产编辑删除,支持对已录入资产信息进行编辑修改；已发布竞拍或已租赁的资产不可删除，仅可修改非关键信息；删除需二次确认
后台管理系统,团级管理员,资产管理,资产信息,批量导入导出,支持Excel模板批量导入资产信息，导入前进行数据校验并提示错误信息；支持按筛选条件批量导出资产信息为Excel格式
========================================移动端（H5）========================================,,,,,
移动端（H5）,承租用户,用户中心,账号管理,用户注册,新用户注册，需填写手机号、设置密码、获取短信验证码；注册成功后需完善个人信息（姓名/身份证号/所属团连）或企业信息（企业名称/统一社会信用代码/法人信息）
移动端（H5）,承租用户,用户中心,账号管理,用户登录,支持手机号+密码登录和手机号+短信验证码登录两种方式；支持记住登录状态
移动端（H5）,承租用户,用户中心,账号管理,找回密码,通过手机号+短信验证码方式找回密码，验证通过后设置新密码
移动端（H5）,承租用户,用户中心,个人信息,个人资料管理,查看和编辑个人基本信息（姓名/手机号/身份证号/所属团连等）；身份证号实名认证后不可修改；支持更换手机号（需短信验证）
移动端（H5）,承租用户,用户中心,个人信息,企业资料管理,企业用户查看和编辑企业信息（企业名称/统一社会信用代码/法人姓名/联系方式等）；支持上传营业执照等资质文件
移动端（H5）,承租用户,用户中心,个人信息,实名认证,进行实名认证，上传身份证正反面照片进行OCR识别和人脸核验；认证通过后方可参与竞拍和预约
移动端（H5）,承租用户,用户中心,消息中心,消息列表,展示所有接收的系统消息，按时间倒序排列；消息类型包括：报名审核结果、竞拍出价提醒、竞拍结果通知、预约审核通知、支付提醒、合同签署提醒等；支持消息已读/未读标记
移动端（H5）,承租用户,用户中心,消息中心,消息设置,设置消息通知偏好，选择接收或关闭各类消息的推送提醒
移动端（H5）,承租用户,首页,导航入口,首页导航,首页展示核心功能入口：资产竞拍（非晒场）、晒场预约、我的订单、我的合同等；展示最新竞拍公告、热门资产推荐
移动端（H5）,承租用户,资产竞拍,信息浏览,资产列表,展示所有可竞拍资产列表，按资产类型分类展示（厂房/农机/土地等）；支持按团连筛选、按资产名称搜索；卡片展示资产缩略图、名称、规格、参考价、竞拍状态
移动端（H5）,承租用户,晒场预约,支付结算,支付结果,支付完成后实时同步结果（延迟≤3秒）；成功显示支付金额/时间/交易单号，自动跳转合同签署页；失败显示原因，订单保留3天，超时自动取消并释放名额
